404	Page not found
PMPL	Piss my pants laughing
POAS	Pee on a stick
POS	Power of suggestion
POTC	Pirates of the Caribbean
POTUS	President of the United States
POV	Point of view
PP	Patterned paper
ppd	Postpartum depression
PR	Public relations
PS2	PlayStation 2
PS3	PlayStation 3
PSOG	Pure stroke of genius
PSP	PlayStation Portable
PTB	Powers that be
PUSIMP	Put yourself in my position
pw	Password
PYHOOYA	Pull your head out of your a**
q	Coupon
QFE	Quoted for emphasis
QFE	Question for everyone
QFT	Quoted for truth
QQ	Quick question
RATM	Rage Against The Machine
RFC	Request for comment
RIP	Rest in peace
RMA	Return Merchandise Authorization
ROM	Emulator game
RTFB	Read the flippin' book
RTFFAQ	Read the flippin' FAQ
RTFMM	Read the flippin' manual, moron
RTFS	Read the flippin' source
RYC	Regarding your comment
SAE	Stamped addressed envelope
SAHD	Stay-at-home dad
SAHM	Stay-at-home mom
SAHP	Stay-at-home parent
SAL	Such a laugh
SAT	Scholastic Aptitude Test
SERP	Search engine results page
SF	Science Fiction
SFY	Speak for yourself
sic	Spelling incorrect
SINBAD	Single income, no boyfriend, absolutely desperate
SMH	Scratching my head
SNES	Super Nintendo Entertainment System
SOTA	State of the art
SRO	Standing room only
STFD	Sit the f*** down
STFW	Search the flippin' Web
STW	Search the Web
sw	Software
SWA	So what a**
SWYP	So what's your problem
sysadmin	System administrator
T1D	Type 1 Diabetes
T4P	Thanks for posting
T4T	Thanks for trade
TARFU	Things are really fouled up
TBD	To be determined
TBE	To be edited
TBF	To be fair
TBH	To be honest
TBQH	To be quite honest
TBR	To be released
TBTG	Thanks be to God
TCG	Trading card game
TDL	The Do LaB
TFTI	Thanks for the information
thx	Thanks
TISU	This is so unfair
TLDR	Too long, didn't read
TMA	Take my advice
TMFT	Too much free time
TMNT	Teenage Mutant Ninja Turtles
TMSF	Too much Science Fiction
TOC	Table of contents
TOH	The other half
TPTB	The powers that be
Troll	Offensive comments poster
Trolling	Posting offensive comments
TRS	That really sucks
TTBOMK	To the best of my knowledge
TTL	Time to live
TTT	To the top
TTTE	Thomas the Tank Engine
TTTT	To tell the truth
TTTT	These things take time
TUT	Totally unique thought
TWSB	This website sucks b***s
TY	Thank you
u/l	Upload
UCE	Unsolicited commercial e-mail
ul	Upload
us	Ultrasound
UX	User Interface
Vet	Veteran
VG	Video game
vid	Video
vlog	Video blog
vlogger	Video blogger
VOD	Video on demand
VR	Virtual reality
W2K	Windows 2000
WADR	With all due respect
WAEFRD	When all else fails, read directions
wags	Wife and girlfriends
WAH	Work at home
WAHM	Work at home mom
WCG	World Cyber Games
WDIT	Why do I try
WDUMBT	What do you mean by that
WDYT	What do you think
WIIFM	What's in it for me?
WIYP	What is your problem
WOHM	Working outside home mom
WOOT	Way out of topic
WOTD	Workout of the day
WP	WordPress
WRT	With regard to
WRT	With respect to
WTYAF	Who threw you a fish?
WW	Wrong Window
WYB	When you buy
WYSIWYG	What you see is what you get
WYWH	Wish you were here
xp	Experience
Y	Why
YAA	Yet another acronym
YHBT	You have been trolled
YMMV	Your mileage may vary
YR	Yeah, right
YRL	You are lame
YW	You're welcome
YWA	You're welcome anyway
YWIA	You're welcome in advance
