10m	Ten man
HON	Heroes of Newerth
Horribad	Horribly bad
HOT	Heal over time
HOTS	Heart of the Swarm
HP	Hit points
hp5	Health per five seconds
HPS	Heals per second
HS	Head shot
HT	Hi there
Huckleberry	The one you're looking for
HUD	Heads up display
HYE	Have you ever
IAP	In-app purchase
icc	Icecrown Citadel
idd	Indeed
IDK	I don't know
imba	Imbalanced
inc	Incoming
Instalock	Instantly choose character
int	Intellect
inv	Invite
IRL	In real life
ITRW	In the real world
IVL	In virtual life
jc	Jewelcrafter
Jungler	Jungle killing player
Jungling	Killing neutral monsters in jungle
kara	Karazhan
KDA	Kills deaths assists
KDR	Kill death ratio
kek	WoW Orcish laugh
kek	Korean laugh
keke	Korean laugh
kgo	Ok, go
KIA	Killed in action
Kiting	Moving while avoiding attack
KK	OK
KMA	Kiss my a**
KMB	Kiss my butt
KMMFA	Kiss my mother f****** a**
KOS	Kill on site
KOTOR	Knights of the Old Republic
KS	Kill steal
ks	Kingslayer
L2P	Learn to play
L4D	Left for Dead
L4D2	Left for Dead 2
l8r	Later
LAN	Local Area Network
lane	MOBA map path
Laning	Staying in a lane
LARP	Live action role-playing
larper	Live action role-player
larping	Live action role-playing
Leech	Freeloader
LD	Ludum Dare
LF	Looking for
LF1M	Looking for one more
LFG	Looking for group
LFM	Looking for more
LFW	Looking for work
ling	Zergling
LL	Later loser
LMSO	Laughing my socks off
LOL	Laughing out loud
LOL	League of Legends
LOM	Low on mana
LOS	Line of sight
LOTV	Legacy of the Void
ltr	Later
lulz	LOL
lvl	Level
Macro	Economy management skill
Main	Main character
mats	Materials
MC	Mind Control
MC	Minecraft
MDPS	Melee damage per second
mech	Mechanical units
Metagame	Outside game preparation and strategies
Micro	Unit micromanagement skill
mid	Middle lane
MLG	Major League Gaming
MM	Make me
MMBBG	Massively Multiplayer Browser-Based Game
MMM	Marine, Marauder, Medivac
MMO	Massively multiplayer online
MMOG	Massively Multiplayer Online Game
MMORPG	Massively multiplayer online role-playing game
mob	Monster
MOBA	Multiplayer online battle arena
mod	Modification
mod	Moderator
MOH	Medal of Honor
MOP	Mists of Pandaria
MOTD	Message of the day
mp5	Mana per five seconds
MT	Mistype
MTFBWY	May the Force be with you
MUD	Multi-User Dimension
Mule	Alternate character for storage
mut	Mutilate
muta	Mutalisks
n00b	Newbie
N1	Nice one
N64	Nintendo 64
Natural	Natural expansion
nax	Naxxaramas
naxx	Naxxaramas
NC	Nice call
NC	Not cool
NCZ	No capture zone
NDS	Nintendo DS
Nerf	Weaken
NES	Nintendo Entertainment System
newb	Newbie
NH	Nice hand
Ninja	Loot stealer
NJ	Nice job
NKZ	No kill zone
NL	No limit
nmtn	Nevermind that now
noob	Newbie
nooblet	Young newbie
nooblord	Ultimate newbie
NP	No problem
NP	Nice play
NPC	Non-player character
NS	No s***
NS	Nice shot
NT	Nice try
nub	Newbie
nuke	Nuclear missile
nxt	Next
OAR	On a roll
OIC	Oh, I see
OMD	Oh my darn!
OMDB	Over my dead body
OMG	Oh my gosh
OMGYS	Oh my gosh you suck
oneshot	One shot completion
OOC	Out of character
OOM	Out of mana
OOYFM	Out of your freaking mind
op	Overpowered
OT	Overtime
OTP	On the phone
ovie	Overlord
ownage	Completely owned
pat	Patrol
PAYG	Pay as you go
PBE	Public beta environment
PC	Personal computer
pf	Preflop
PF	Planetary Fortress
PFR	Plasma, Frag, Rocket
pfr	Preflop raise
PK	Player Kill
pld	Played
plox	Please
PMD	Pokémon Mystery Dungeon
POC	Piece of crap
POS	Piece of s***
pot	Potion
POV	Point of view
POW	Prisoner of war
PP	Pause please
proc	Programmed random occurrence
prot	Protection
PS2	PlayStation 2
PS3	PlayStation 3
PSP	PlayStation Portable
PST	Please send tell
PTFO	Play the freaking objective
PTIYPASI	Put that in your pipe and smoke it
PTL	Player to left
PTR	Public test realm
PTR	Player to right
PUG	Pick up group
Pull	Enter combat
PVC	Player versus computer
PVE	Player versus environment
PvP	Protoss versus Protoss
PVP	Player versus player
PvT	Protoss versus Terran
PvZ	Protoss versus Zerg
pwn	Own
pwn3d	Owned
pwnage	Ownage
pwnd	Owned
pwned	Owned
pwnt	Owned
Q	First champion ability
qqn	Looking
Ragequit	Angrily exiting
Raid	Raid group
Rake	Poker site commission
rax	Barracks
RDPS	Ranged damage per second
rdy	Ready
re	Replay
RE	Resident Evil
rep	Reputation
resto	Restoration
rez	Resurrection
RL	Real life
RMAH	Real money auction house
RMP	Rogue, Mage, Priest
RNG	Random number generator
robo	Robotics Facility
ROFLMFAO	Rolling on the floor laughing my freakin' a** off
ROM	Emulator game
rox	Rocks
roxorz	Rocks
RP	Role play
RPC	Role play chat
RPG	Role playing game
RQ	Real quick
RTFM	Read the flippin' manual
RTS	Real-time strategy
RW	Real world
S/U	Shut up
S2U	Same to you
SB	Small blind
SBT	Sorry 'bout that
sc2	StarCraft 2
sc2nite	StarCraft 2 tonight?
Scrub	Loser
SEAL	Slaying everyone and laughing
sec	Second
SH	Short handed
shat	Shattrath City
shatt	Shattrath City
shmup	Shoot 'em up
SMTW	Sunday, Monday, Tuesday, Wednesday
Smurf	Hidden alternate character
SNES	Super Nintendo Entertainment System
SNG	Sit 'n go
SOB	Son of a b****
SOH	Slight of hand
SOS	Save our souls
SP	Spell power
spec	Specialization
Speedling	Zergling with Metabolic Boost
SS	Short stacked
ss	Miss
str	Strength
STT	Single table tournament
SU	Shut up
sux	Sucks
SWTOR	Star Wars: The Old Republic
SWYP	So what's your problem
SYIH	See you in h***
S~!	Salute
T4T	Thanks for trade
Tank	Strong character
TANSTAAFL	There ain't no such thing as a free lunch
tard	Retard
TCG	Trading card game
td	Touchdown
TDM	Team Death Match
teh	The
terribad	Terrible bad
TF	Twisted Fate
TF2	Team Fortress 2
TFB	Too freakin' bad
THTH	Too hot to handle
Tilted	Aggravated
TISNF	That is so not fair
TJI	Try joining in
TKA	Totally Kick A**
TLDR	Too long, didn't read
TMNT	Teenage Mutant Ninja Turtles
Toon	Alternate character
toss	Protoss
tourney	Tournament
TPTB	The powers that be
TPvPZ	Terran Protoss versus Protoss Zerg
TQVM	Thank you very much
Trash	Dungeon enemy mob groups
Trolling	Posting offensive comments
TRS	That really sucks
TTG	Time to go
TTKA	Time to kick a**
TTYL	Talk to you later
Turtling	Playing defensively
TvP	Terran versus Protoss
TvT	Terran versus Terran
TvZ	Terran versus Zerg
Twink	Powerful low-level character
Twinking	Leveling up with assistance
TWMA	Till we meet again
TY	Thank you
TYVM	Thank you very much
u/l	Upload
Uber	The best
ugh	Disgusted
ul	Unlucky
ul	Upload
ult	Ultimate ability
UTG	Under the gun
UY	Up yours
vent	Ventrilo
vfx	Visual effects
VG	Video game
VNH	Very nice hand
VPIP	Voluntary put in pot
VR	Virtual reality
vs	Versus
w00t	Joy and excitement
w00t	Yay
W8	Wait
waggro	Wife aggro
WAM	Wait a minute
WAS	Wait a second
WB	Welcome back
WC	Water closet
WCG	World Cyber Games
WD	Well done
wei	Whatever idiot
Wewt	Woot
wg	Wintergrasp
Wha	What
Whew	Expression of relief
Whoa	Expression of surprise
Wipe	Total death
WL	Whatta loser
Woah	Expression of surprise
WOL	Wings of Liberty
WOOT	We own the other team
woot	Wonderful loot
WOTLK	Wrath of the Lich King
WOW	World of Warcraft
WP	Wrong person
WP	Well played
WPT	World Poker Tour
WR	Win ratio
WSOP	World Series of Poker
wsp	Whisper
WT	What the
WTA	Winner takes all
WTB	Want to buy
WTC	What the crap
WTF	What the f***
WTFO	What the f***; Over
WTGP	Want to go private
WTS	What the s***
WTS	Want to sell
WTT	Want to trade
wut	What
WW	Well won
WYB	Watch your back
WYD	Who's your daddy?
xb	Xbox
xbl	Xbox Live
xmute	Transmute
xp	Experience
Y	Why
Y/R	Yeah right
YF	You fail
YHS	Your hand sucks
YM	Your mom
YRG	You are good
YRL	You are lame
YS	You suck
YT	Your turn
YW	You're welcome
ZOMG	Oh my gosh!
Zoning	Constraining enemy positions
ZvP	Zerg versus Protoss
ZvT	Zerg versus Terran
ZvZ	Zerg versus Zerg
^5	High five
